BOMBA_FUNCIONANDO,PRESION_AGUA_SELLO,FLUJO_AGUA_SELLO,VELOCIDAD,FLUJO_TRANSMISOR,DENSIMETRO_NUCLEAR,V_VELOCIDAD,ACELERACION,TEMPERATURA,FALLAS
1,685.84,5.19,65.73,202.03,1.71,9.37,31.15,34.77,9
1,685.84,5.19,65.73,202.03,1.71,9.47,31.4,34.79,9
1,685.84,5.19,65.73,202.03,1.71,9.56,31.65,34.8,9
1,685.84,5.19,65.73,202.03,1.71,9.66,31.9,34.82,9
1,685.84,5.19,65.73,202.03,1.71,9.76,32.15,34.84,9
1,685.84,5.19,65.73,202.03,1.71,9.86,32.4,34.85,9
1,685.84,5.19,65.73,202.03,1.71,9.96,32.65,34.87,9
1,685.84,5.19,65.73,202.03,1.71,10.06,32.9,34.88,9
1,685.84,5.19,65.73,202.03,1.71,10.16,33.15,34.9,9
1,685.84,5.19,65.73,202.03,1.71,10.26,33.4,34.91,9
1,685.84,5.19,65.73,202.03,1.71,10.36,33.65,34.92,9
1,685.84,5.19,65.73,202.03,1.71,10.46,33.9,34.94,9
1,685.84,5.19,65.73,202.03,1.71,10.56,34.15,34.95,9
1,685.84,5.19,65.73,202.03,1.71,10.66,34.4,34.97,9
1,685.84,5.19,65.73,202.03,1.71,10.76,34.65,34.98,9
1,685.84,5.19,65.73,202.03,1.71,10.86,34.9,35,9
1,685.84,5.19,65.73,202.03,1.71,11.45,36.4,35.09,9
1,685.84,5.19,65.73,202.03,1.71,11.55,36.65,35.1,9
1,685.84,5.19,65.73,202.03,1.71,11.65,36.9,35.12,9
1,685.84,5.19,65.73,202.03,1.71,11.75,37.15,35.13,9
1,685.84,5.19,65.73,202.03,1.71,11.85,37.4,35.15,9
1,685.84,5.19,65.73,202.03,1.71,11.95,37.65,35.16,9
1,685.84,5.19,65.73,202.03,1.71,12.05,37.9,35.18,9
1,685.84,5.19,65.73,202.03,1.71,12.15,38.15,35.2,9
1,685.84,5.19,65.73,202.03,1.71,12.25,38.4,35.21,9
1,685.84,5.19,65.73,202.03,1.71,12.35,38.65,35.23,9
1,685.84,5.19,65.73,202.03,1.71,12.45,38.9,35.24,9
1,685.84,5.19,65.73,202.03,1.71,12.55,39.15,35.26,9
1,685.84,5.19,65.73,202.03,1.71,12.65,39.4,35.27,10
1,685.84,5.19,65.73,202.03,1.71,12.75,39.65,35.28,10
1,685.84,5.19,65.73,202.03,1.71,12.85,39.9,35.3,10
1,685.84,5.19,65.73,202.03,1.71,13.44,41.4,35.39,10
1,685.84,5.19,65.73,202.03,1.71,13.54,41.66,35.41,10
1,685.84,5.19,65.73,202.03,1.71,13.64,41.91,35.42,10
1,685.84,5.19,65.73,202.03,1.71,13.74,42.16,35.44,10
1,685.84,5.19,65.73,202.03,1.71,13.84,42.41,35.45,10
1,685.84,5.19,65.73,202.03,1.71,13.94,42.66,35.47,10
1,685.84,5.19,65.73,202.03,1.71,14.04,42.91,35.48,10
1,685.84,5.19,65.73,202.03,1.71,14.14,43.16,35.49,10
1,685.84,5.19,65.73,202.03,1.71,14.24,43.41,35.51,10
1,685.84,5.19,65.73,202.03,1.71,14.34,43.66,35.52,10
1,685.84,5.19,0,0,1.71,14.44,43.91,35.54,11
1,685.84,5.19,0,1,1.71,14.44,43.91,35.52,11
1,685.84,5.19,0,2,1.71,14.44,43.91,35.54,11
1,685.84,5.19,0,3,1.71,14.44,43.91,35.52,11
1,685.84,5.19,0,4,1.71,14.44,43.91,35.54,11
1,685.84,5.19,0,5,1.71,14.44,43.91,35.52,11
1,685.84,5.19,0,6,1.71,14.44,43.91,35.54,11
1,685.84,5.19,0,7,1.71,14.44,43.91,35.52,11
1,685.84,5.19,0,8,1.71,14.44,43.91,35.54,11
1,685.84,5.19,0,9,1.71,14.44,43.91,35.52,11
1,685.84,5.19,0,10,1.71,14.44,43.91,35.52,11
1,687.03,5.23,54.87,165.26,1.86,2.79,18.17,31.38,0
1,683.81,5.62,54.97,169.74,1.8,2.42,14.68,30.81,0
1,691.8,5.16,64.84,211.67,1.73,2.11,12.89,31.69,0
1,685.84,5.19,65.73,202.03,1.71,3.4,16.15,33.88,0
1,630.56,6.23,96.63,179.11,1.77,5.35,17.69,32.5,0
1,685.84,5.19,65.73,202.03,1.71,3.4,16.15,33.88,0
1,685.84,5.19,65.73,202.03,1.71,4,17.65,33.97,0
1,685.84,5.19,65.73,202.03,1.71,4.1,17.9,33.98,0
1,685.84,5.19,65.73,202.03,1.71,4.2,18.15,33.99,0
1,685.84,5.19,65.73,202.03,1.71,4.3,18.4,34.01,0
1,685.84,5.19,65.73,202.03,1.71,4.39,18.65,34.02,0
1,685.84,5.19,65.73,202.03,1.71,4.49,18.9,34.04,0
1,685.84,5.19,65.73,202.03,1.71,4.59,19.15,34.05,0
1,839.84,8.69,58.73,180.2,1.98,3.75,21.68,32.94,0
1,839.84,8.69,58.73,180.2,1.98,2.59,16.1,32.62,0
1,839.84,8.69,58.73,180.2,1.98,3.74,15.99,32.88,0
1,839.84,8.69,58.73,180.2,1.98,4.11,16.58,32.81,0
1,839.84,8.69,58.73,180.2,1.98,2.53,15.7,33.19,0
1,839.84,8.69,58.73,180.2,1.98,2.7,15.75,33.2,0
1,839.84,8.69,58.73,180.2,1.98,2.87,15.8,33.21,0
1,839.84,8.69,58.73,180.2,1.98,4.27,16.19,33.31,0
1,839.84,8.69,58.73,180.2,1.98,4.44,16.24,33.33,0
1,839.84,8.69,58.73,180.2,1.98,4.61,16.29,33.34,0
1,839.84,8.69,58.73,180.2,1.98,4.79,16.34,33.35,0
1,839.84,8.69,58.73,180.2,1.98,4.96,16.39,33.36,0
1,839.84,8.69,58.73,180.2,1.98,5.14,16.44,33.38,0
